MEDIDOR,lectura_id_orig,voltajeA,voltajeB,voltajeC,corrienteA,corrienteB,corrienteC,angvoltajeA,angvoltajeB,angvoltajeC,angcorrienteA,angcorrienteB,angcorrienteC,powerfactorsystem,totalkwh,totalkvarh,Maxkw,Maxkvar,frecuencia,Latitud,Longitud,kwh_consumido,kvarh_consumido,clasificacion_encoded,modelo_encoded,tipo_consumo_encoded,kwh_hora,dayMonth,dayNumber,hora,W1_L_m,W1_L_t,W1_L_n,W1_MA_m,W1_MA_t,W1_MA_n,W1_MI_m,W1_MI_t,W1_MI_n,W1_J_m,W1_J_t,W1_J_n,W1_V_m,W1_V_t,W1_V_n,W1_S_m,W1_S_t,W1_S_n,W1_D_m,W1_D_t,W1_D_n,W2_L_m,W2_L_t,W2_L_n,W2_MA_m,W2_MA_t,W2_MA_n,W2_MI_m,W2_MI_t,W2_MI_n,W2_J_m,W2_J_t,W2_J_n,W2_V_m,W2_V_t,W2_V_n,W2_S_m,W2_S_t,W2_S_n,W2_D_m,W2_D_t,W2_D_n,W3_L_m,W3_L_t,W3_L_n,W3_MA_m,W3_MA_t,W3_MA_n,W3_MI_m,W3_MI_t,W3_MI_n,W3_J_m,W3_J_t,W3_J_n,W3_V_m,W3_V_t,W3_V_n,W3_S_m,W3_S_t,W3_S_n,W3_D_m,W3_D_t,W3_D_n,W4_L_m,W4_L_t,W4_L_n,W4_MA_m,W4_MA_t,W4_MA_n,W4_MI_m,W4_MI_t,W4_MI_n,W4_J_m,W4_J_t,W4_J_n,W4_V_m,W4_V_t,W4_V_n,W4_S_m,W4_S_t,W4_S_n,W4_D_m,W4_D_t,W4_D_n,ClustersConsumoMesFranjas,CLASIFICACION
15029846,1292071.4417344173,107.85922493224929,109.04104065040656,109.0714712737129,2.3312422764227643,3.000947425474254,2.9562972899729023,0.0,120.0,240.0,325.38240243902413,98.00054498644994,245.93503252032534,0.912034959349594,4549354.310908541,2024010.611512191,208.01268292682914,208.01268292682914,59.999881842818425,-1.54980999999999,-79.7511999999996,0.10931052712164019,0.42217682926918115,2.0,0.0,0.0,168.213020961775,18.314363143631436,2.994579945799458,11.037940379403794,0.10748352161555895,0.10767110639371374,0.1073821072755317,0.10757344201422112,0.10746472554560385,0.1073821072755317,0.107040986944536,0.10757667493825648,0.1073821072755317,0.10716767245603481,0.10755938255389974,0.1073821072755317,0.10745344790363166,0.1099629880708462,0.1073821072755317,0.10720669309726236,0.10783733883639397,0.1073821072755317,0.10741397615672685,0.10770358600258952,0.1073821072755317,0.11292335228227522,0.11214156708930657,0.11297859741948757,0.10998428943561558,0.11027524925699429,0.10989421962310793,0.10993100550112211,0.11007779194752282,0.10989421962310793,0.11355635805883081,0.11005109317437153,0.10989421962310793,0.10979410328137966,0.10992793798250315,0.10989421962310793,0.11017197613023133,0.11039533693025043,0.10989421962310793,0.10996577071211265,0.11031558144621056,0.10989421962310793,0.10878182213788745,0.10899598038204959,0.10876215918125054,0.10884862587665012,0.1071087475939537,0.10876215918125054,0.10867673122231221,0.10828408883937782,0.10876215918125054,0.1088675990473494,0.10886271373992486,0.10876215918125054,0.10893281222090469,0.10885646509089117,0.10876215918125054,0.1090960723783979,0.10907948505550295,0.10876215918125054,0.10876215918125054,0.10693781123045716,0.10876215918125054,0.10703072828950264,0.1078649576181423,0.10752996277035459,0.10718366911130901,0.10787718323581691,0.10752996277035459,0.10736304280630864,0.1059584281126868,0.10752996277035459,0.10738360170767189,0.10770013406348965,0.10752996277035459,0.10752008405772419,0.10843133714243235,0.10752996277035459,0.10762789177722216,0.10820616349325146,0.10752996277035459,0.10760777507904608,0.10810480200853274,0.10752996277035459,1,ESTACION DE BOMBEO
52073201,1294335.242937853,112.38079096045199,129.77175141242938,110.8700564971752,0.25536723163841824,0.24293785310734475,0.3141242937853108,0.0,241.09435028248595,118.54011299435028,94.5553672316384,136.502824858757,72.27796610169491,0.40542372881355926,46313.135383050845,9525.342417514126,264.40861525423793,264.40861525423793,0.0,-1.8006500000000005,-79.52750000000012,0.08723706318257843,51.127215254237306,1.0,1.0,1.0,61.51799479623501,18.35593220338983,3.1412429378531073,10.92090395480226,0.10837295761283433,0.10552956566143826,0.10537427596730996,0.10376209129449583,0.10815435329258002,0.10537427596730996,0.10231388914163121,0.10647567128164515,0.10537427596730996,0.10322714890172326,0.10033046997266448,0.10537427596730996,0.10218903213966515,0.10438606796017827,0.10537427596730996,0.09990783013975942,0.10001856475841334,0.10537427596730996,0.10024977116640768,0.10311563848906945,0.10537427596730996,0.08124702880345253,0.08306007137789836,0.08459534824959948,0.04619688749760293,0.042615484799352905,0.033657902395035515,0.0408695301882627,0.04270806489164184,0.033657902395035515,0.040578498304539065,0.033657902395035515,0.033657902395035515,0.045700215657920464,0.041560497791511525,0.033657902395035515,0.044888710586890194,0.04259829560442382,0.033657902395035515,0.036951590238980925,0.032378874915755806,0.033657902395035515,0.07617810657043267,0.08024265143454956,0.08024265143454956,0.08047701472594063,0.09385640292899117,0.08024265143454956,0.07812217644243837,0.08429572969921965,0.08024265143454956,0.07563059198152207,0.08335017276622017,0.08024265143454956,0.07415506065317548,0.08088559846752705,0.08024265143454956,0.08201657836069749,0.08423085249198983,0.08024265143454956,0.07414779722662992,0.07276011332485062,0.08024265143454956,0.10912019822864091,0.10736874504273636,0.11276079052331728,0.10899479813592931,0.12281824831238237,0.11276079052331728,0.11142632993730488,0.11582418969189484,0.11276079052331728,0.10753450414730273,0.11566642620999719,0.11276079052331728,0.10599166076399395,0.1253964844692233,0.11276079052331728,0.10904698558840957,0.10938082412636958,0.11276079052331728,0.10432982362676976,0.10694238301906837,0.11276079052331728,1,ENTIDAD PRIVADA
52073321,1288910.9959677418,127.59314516129024,129.5524193548387,128.03185483870973,2.6229838709677415,2.120967741935485,2.6270161290322602,0.0,120.78387096774202,240.52903225806438,67.058064516129,122.2467741935483,226.04233870967752,0.969596774193547,695712.4839536288,681904.5420544357,176.76792419354933,176.76792419354933,0.0,-1.7977700000000099,-79.53120000000004,0.0686426693154765,43.17914233870725,14.0,2.0,2.0,70.00772313119758,18.217741935483872,3.0483870967741935,10.745967741935484,0.061365586847095754,0.061522945277297486,0.06344508390921012,0.06328869514867001,0.0666438773539729,0.06344508390921012,0.06397968076750435,0.06676657147404504,0.06344508390921012,0.06363899549553118,0.06527427641536955,0.06344508390921012,0.06498076776734205,0.06395535837452218,0.06344508390921012,0.06206473425653517,0.06164769238689697,0.06344508390921012,0.06213443983003907,0.06152151295709685,0.06344508390921012,0.08706547030099346,0.08630627441675143,0.08663144276013567,0.09086856080909995,0.09516357019597844,0.0914059208589555,0.091208412168713,0.0910439787206942,0.0914059208589555,0.09121965607207627,0.09405928931186494,0.0914059208589555,0.08999132507410885,0.09352874733370116,0.0914059208589555,0.08653822894840621,0.08738498974021287,0.0914059208589555,0.08400341505711689,0.0890554149348068,0.0914059208589555,0.057134907517989164,0.06145533732462381,0.05720914336827545,0.05747009793166537,0.06096031671773257,0.05720914336827545,0.05381391940346785,0.05664936227608849,0.05720914336827545,0.05615674132807335,0.06051712771713985,0.05720914336827545,0.05651717031530067,0.060110536267611876,0.05720914336827545,0.052824287322153794,0.05620553078117485,0.05720914336827545,0.05720914336827545,0.05437141798899178,0.05720914336827545,0.06872588711259073,0.07299237743534859,0.0690287674492739,0.06973427705192171,0.07331057771471026,0.0690287674492739,0.06871891215954566,0.07287045371424661,0.0690287674492739,0.06860478099069675,0.07205720624395129,0.0690287674492739,0.0665078530586545,0.06646353025493859,0.0690287674492739,0.06540934157287474,0.06582559593690689,0.0690287674492739,0.06538086660095388,0.06601336581159534,0.0690287674492739,1,ENTIDAD MUNICIPAL
53307830,1286651.8484848484,108.76767676767676,109.49444444444438,111.36515151515152,0.21515151515151523,0.2262626262626264,0.20353535353535376,0.0,118.64343434343424,239.63383838383814,16.17626262626263,127.67626262626267,227.02373737373736,0.9333333333333338,618280.2475191916,534689.029467172,159.59153131313118,159.59153131313118,0.0,-1.5570600000000008,-79.75530000000028,0.10392023154356522,114.55449292929126,1.0,1.0,1.0,79.2586185269155,18.161616161616163,2.9696969696969697,10.909090909090908,0.09742613431967465,0.09921521079798547,0.09778731644334138,0.09697779120371507,0.09921572939334736,0.09778731644334138,0.09707809796788136,0.09942112020712916,0.09778731644334138,0.09946572559121628,0.09901811828286561,0.09778731644334138,0.09667231058638125,0.09906739102521063,0.09778731644334138,0.09582527157898825,0.0971301823012319,0.09778731644334138,0.09577714471437129,0.09702230055428622,0.09778731644334138,0.11489161431993485,0.11621872235543723,0.11629659188228154,0.113351656258101,0.11990627114556052,0.1160695547124293,0.11300778232023445,0.11960985447983788,0.1160695547124293,0.11669703803787461,0.11815255290771239,0.1160695547124293,0.11918849776625808,0.11830019895662298,0.1160695547124293,0.11249741724438755,0.11462356359503262,0.1160695547124293,0.11227335390609543,0.11413867083448012,0.1160695547124293,0.09651396415978242,0.09968106393668007,0.09614886926139488,0.09705856126754704,0.1000662433522438,0.09614886926139488,0.09655753040417069,0.09919587810249243,0.09614886926139488,0.09599304488032784,0.09904240036368078,0.09614886926139488,0.09608586360444195,0.0987255429536698,0.09614886926139488,0.09328710675690303,0.09492920758699114,0.09614886926139488,0.09614886926139488,0.09216571171102583,0.09614886926139488,0.10715673381957476,0.11105896886153005,0.10791042257809148,0.10642606522181082,0.11026906623464736,0.10791042257809148,0.10736640304509353,0.11034483613203547,0.10791042257809148,0.10581520973544772,0.10992904799096308,0.10791042257809148,0.10417597269040924,0.10715965379574419,0.10791042257809148,0.10402893061745977,0.10621347637295495,0.10791042257809148,0.1038936892940379,0.10610076782143502,0.10791042257809148,1,ENTIDAD PRIVADA
58706725,1293904.416,112.1296,111.17439999999999,110.21320000000001,0.6655999999999992,0.7504000000000004,0.5079999999999995,0.0,239.04520000000002,119.92519999999993,92.61040000000007,221.72839999999985,122.78919999999994,0.24971999999999994,487611.9093956001,586553.4483540008,466.26649919999863,466.26649919999863,0.0,-1.8547100000000076,-79.55229999999969,0.23630075211985987,-3828.575536400001,1.0,2.0,2.0,238.48582704341297,18.352,3.088,10.952,0.22025169825342697,0.2257178088035386,0.2264026671865312,0.22140048933441844,0.2363666226981809,0.2264026671865312,0.22633716109042534,0.22955012837652974,0.2264026671865312,0.22546177194761682,0.22643955425596618,0.2264026671865312,0.22727790226565656,0.22862945080483935,0.2264026671865312,0.22103924085109583,0.22302975972555342,0.2264026671865312,0.21926102982403445,0.22191508280787373,0.2264026671865312,0.2685136774567378,0.26876617575676903,0.269696769370788,0.2912501336715628,0.29371426591028366,0.2915453696460362,0.291835769446256,0.2874499481859892,0.2915453696460362,0.3040218741959865,0.287294918932952,0.2915453696460362,0.2927481511924666,0.2871594958306509,0.2915453696460362,0.2835698758072649,0.2796193684402271,0.2915453696460362,0.2811565837113365,0.27640624602189995,0.2915453696460362,0.2262578889073842,0.22041456469957887,0.22769995019583417,0.23549667670274935,0.2279796222460064,0.22769995019583417,0.2382906613842234,0.23019310713166183,0.22769995019583417,0.23738945290776242,0.2305723084571272,0.22769995019583417,0.23626274243957307,0.22913618556732748,0.22769995019583417,0.23741527224141415,0.22946617074166087,0.22769995019583417,0.22769995019583417,0.21862505861572484,0.22769995019583417,0.23172931756951368,0.25478900952334316,0.24064382708389828,0.23192972986781948,0.2573921826446693,0.24064382708389828,0.2319987117071038,0.2549618293023391,0.24064382708389828,0.23173222278555805,0.25517676227078173,0.24064382708389828,0.22887780744632838,0.2358798736770963,0.24064382708389828,0.22878631532228197,0.23359619641541582,0.24064382708389828,0.22896276418679584,0.23353883219425697,0.24064382708389828,1,ENTIDAD PRIVADA
