MEDIDOR,Latitud,Longitud,CLASIFICACION
35925291,-1.829130000000002,-79.56600000000022,INGENIO AZUCARERO
35947190,-1.427700000000001,-79.46370000000017,SECADORA DE MAIZ
52073194,-1.805949999999997,-79.54279999999973,ENTIDAD PRIVADA
52073201,-1.8006500000000005,-79.52750000000012,ENTIDAD PRIVADA
58706725,-1.8547100000000076,-79.55229999999969,ENTIDAD PRIVADA
