Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo,ClustersConsumoDias
198.9286764705937,287.3324999999953,382.6853048780524,276.42837209303235,125.96461956520848,50.922812500003296,28.099050000007264,0
0.5420943396224999,3.6148124999996676,2.35429787234062,1.3128113207548147,0.7447500000001198,5.685333333332959,9.97650000000011,0
4.72338461538479,4.523872340425364,4.653260869564964,4.823320754717024,5.561454545454498,5.700360000000001,7.851923076923203,0
34.9566923076916,38.43357446808442,34.69685106383057,38.11082352941123,26.87592452830242,12.635755102039667,12.994941176470556,0
1.5757453125000513,0.84979468085108,0.6822153409090622,0.5682455882352752,0.5331541666666824,0.7635926470588232,1.0475466666666762,0
35.087736842106096,34.6178999999995,35.46287234042656,34.985166666666544,31.74064285714329,34.267588235294916,27.280684210527014,0
22.357374193549116,23.449680000000807,23.30048888888915,19.65672972972931,21.373427272727096,19.3509093749999,17.896084615384982,0
12.089649056603381,12.749234042553345,10.251121276595748,11.82291346153831,9.090532075471787,4.855500000000455,1.55114117647035,0
26.431126415094454,23.75117872340451,21.33381874999941,24.258565384615046,22.621205555555612,31.550756603773443,3.437470588234753,0
11.418561290322911,14.203581818183672,18.39694999999968,14.107779310344807,11.553711111111895,13.33515517241201,6.760275000000092,0
49.25550000000124,206.97680769229714,558.8737682926911,624.8418750000012,558.3430125000071,534.9537439024383,93.35625000000887,0
0.2853112499999895,0.29066624999999247,0.2713500000000098,0.339436764705865,0.3321552631578913,0.3541200000000003,0.26713333333334,0
0.10393499999999677,0.08856774193548465,0.13896428571428573,0.13281785714285443,0.0956464285714296,0.10645982142856829,0.08322931034482822,0
9.493188679245062,10.454437499999585,10.356195652173799,10.899634615384526,10.815452830188491,25.0781538461541,11.63641176470564,0
10.999442307694922,11.703886363634162,12.75697826086822,13.013538461536742,11.340411764708822,11.620775510205375,12.457764705882736,0
0.21126988636364208,0.23596193181818267,0.2939201086956512,0.32544130434783,0.3042964285714194,0.2545793478260916,0.16524642857142663,0
0.5877352040816286,0.6240630681818196,0.6197113636363528,0.5765661764705916,0.6185783333333348,0.6433744897959254,0.5052809999999863,0
0.6334953124999932,0.7217287499999656,0.5923233333333378,0.6462489130434852,0.5858387755102109,0.511791000000012,0.4713514705882499,0
0.9646589999999924,0.9119090425531968,0.9297446808510513,0.9750224999999955,0.9107423076922994,0.9275265000000036,0.8410673076923383,0
0.3271500000000207,0.3309375000000095,0.32825999999999517,0.3374426470588386,0.3058750000000061,0.33898088235295576,0.28963676470588257,0
0.388544711538447,0.38428244680851115,0.39617556818180594,0.39678823529410534,0.42393920454543893,0.3622024038461579,0.3550380681818152,0
0.4007661764706106,0.3931734374999962,0.43610232558141304,0.40047548076924716,0.39318299999999,0.39749846938774663,0.32936099999998986,0
0.3673132352941245,0.3623250000000059,0.3676548913043343,0.3877294117647116,0.3530085000000145,0.3610265625000011,0.3164678571428507,0
0.2472277777777747,0.2602085106383042,0.24624375000000023,0.25225613207546627,0.2511923076923145,0.2764117924528252,0.2474062499999963,0
0.46245432692307986,0.5431923913043479,0.4221095744680807,0.43575147058823394,0.4043575471698145,0.4335708333333312,0.4079341836734654,0
1.3219264705882297,1.5622639534883704,1.40305625000002,1.4579754807692342,1.2742839622641493,1.2200352941176342,1.0301433673469416,0
0.8047499999999727,0.8501250000000379,0.779522282608666,0.8275341346153919,0.7857877358490201,0.9024841836734576,0.7228656249999972,0
0.5424838235293838,0.5359675531914674,0.5934950000000047,0.603529499999986,0.5218240384615368,0.5499735294117594,0.44003849999999145,0
1.1492862244898119,1.2217696428571279,1.1655903409090653,1.1759874999999813,0.9817513888888917,1.0502985294117702,0.9189060000000063,0
51.53986956521935,52.77886956521821,59.37514285714202,58.064400000000994,53.24720000000089,59.54934782608736,53.03411999999895,0
0.004530882352940143,0.00323693181818253,0.004161627906976423,0.002911224489795405,0.004201499999999783,0.0037691176470589735,0.003185294117647751,0
1.0605165000000125,1.0530191489361893,1.055447282608641,1.013976388888868,1.0020147058823177,1.0681109999999716,0.9935625000000072,0
0.046107692307705644,0.04937771739129027,0.04224999999998621,0.05166201923077551,0.031355660377349125,0.0005716981132056115,0.00016649999999572175,0
0.0,0.0,0.0,0.0,0.0,0.0002838235294107375,0.0,0
0.004261499999993248,0.004646590909089809,0.0047215909091019885,0.004755288461537405,0.0034647321428613914,0.0031439999999929567,0.00486617647057827,0
0.38740156249997426,0.37197833333333014,0.3627249999999953,0.3453029411764731,0.3433574999999837,0.3455024999999841,0.30907350000000405,0
0.08543773584905175,0.08821562499999895,0.08545760869565278,0.094899489795921,0.09049897959183612,0.09098382352941176,0.08684387755102084,0
0.3787740566037754,0.3807949999999942,0.37782000000001464,0.37101226415095123,0.357610909090892,0.3932670000000053,0.3430384615384565,0
0.3995311224489806,0.4159346590908978,0.41160815217393104,0.4076639999999952,0.4171035000000029,0.4299358695652403,0.37544387755101805,0
177.1341063829852,182.29193181818383,170.61784090909217,184.7621176470683,186.02014285714213,193.18740000000224,166.99886538461521,0
28.766333333333563,35.31220408163166,41.59012500000032,37.072222222222926,43.8661132075468,42.65322222222204,15.736705882352943,0
0.6269147058823293,0.7174107142857447,0.6263510869565162,0.6294850961538802,0.6214440000000468,0.6542014705882157,0.6023765624999745,0
1.2344632075471724,1.325607065217335,1.2137265624999902,1.2645438679245036,1.1319707547169837,1.0624000000000118,0.9447968750000086,0
0.7091801886792279,0.729699999999942,0.7262843750000343,0.7372716346154063,0.7007444444444546,0.6997627358490168,0.6706117346938466,0
