MEDIDOR,Latitud,Longitud,CLASIFICACION
15842885,-1.7984300000000104,-79.52699999999923,VENTA DE AGROQUIMICOS
15842894,-1.848119999999995,-79.5505000000004,ENTIDAD PRIVADA
16567746,-1.7836999999999976,-79.6815999999999,ESTACION DE BOMBEO
16951199,-1.8724000000000016,-79.42180000000006,SUBESTACION
16951203,-1.8319200000000018,-79.55870000000043,SUBESTACION
16951205,-1.83195999999999,-79.55870000000041,SUBESTACION
28877074,-1.835860000000005,-79.6103999999997,CULTIVOS AGRICOLAS
