MEDIDOR,lectura_id_orig,voltajeA,voltajeB,voltajeC,corrienteA,corrienteB,corrienteC,angvoltajeA,angvoltajeB,angvoltajeC,angcorrienteA,angcorrienteB,angcorrienteC,powerfactorsystem,totalkwh,totalkvarh,Maxkw,Maxkvar,frecuencia,Latitud,Longitud,kwh_consumido,kvarh_consumido,clasificacion_encoded,modelo_encoded,tipo_consumo_encoded,kwh_hora,dayMonth,dayNumber,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo,ClustersConsumoDias,CLASIFICACION
15029835,1289411.1520618557,126.67300489690716,125.50579432989689,127.52293530927841,0.13610335051546357,0.09863067010309272,0.12959020618556713,0.0,240.0,120.0,104.40406494845357,242.773723969072,96.27222190721658,0.8296275773195871,42543.408355670115,11601.78034278351,21.65950515463921,21.65950515463921,59.999705412371114,-1.5684499999999935,-79.47330000000056,2.8758788659793635,0.9069278350515626,7.0,0.0,0.0,1.4316705421409397,18.234536082474225,3.0283505154639174,0.6144310344828008,3.117750000000412,2.2142941176468467,1.1788421052629579,0.569089285714134,3.423827586207059,9.06262499999983,1,IGLESIA
15029844,1290868.1653116532,274.7618986449864,270.71774525745246,272.3199398373985,0.06495447154471536,0.051417886178861776,0.07281246612466118,0.0,120.08130081300813,239.91869918699186,49.93185501355006,121.84762168021676,243.98168184281855,0.7864672086720867,25390.780422764212,13754.344796747964,98.23863414634083,98.23863414634083,59.999388617886154,-1.6280100000000082,-79.5565999999999,6.845073170731694,4.454178861788649,2.0,0.0,0.0,3.348749230070478,18.276422764227643,3.024390243902439,4.7993454545454535,4.751142857143016,4.974499999999959,7.119599999999958,7.892000000000017,8.1342692307693,9.922301886792205,1,ESTACION DE BOMBEO
15029847,1289051.9971428572,124.16779714285713,124.75045142857144,123.41688914285713,0.5078205714285721,0.46285600000000005,0.5037897142857146,0.0,240.0,120.0,200.10488257142853,227.985414,139.01496857142857,0.9374005714285706,209374.5104571429,21497.128697142853,32.204365714285885,32.204365714285885,59.99386200000002,-1.799189999999997,-79.5334000000002,26.557457142857103,2.1585428571429346,11.0,0.0,0.0,12.857209285114669,18.225714285714286,3.0085714285714285,31.914346153845635,35.619702127661206,32.39450000000094,35.75635294117748,25.735811320754024,12.024367346937355,12.594719999998924,1,BANCO
15029977,1292393.536159601,265.98951346633385,268.2386665835411,263.8450720698255,0.6689531172069821,0.7215775561097271,0.6560201995012463,0.0,240.0,120.0,26.21574264339152,251.93704463840413,132.2439301745635,0.9304496259351619,100175.59591271824,59869.556446384064,47.736718204488646,47.736718204488646,59.99849451371573,-1.4437899999999968,-79.76280000000037,30.488094763092437,18.685167082294175,2.0,0.0,0.0,15.527461777699196,18.32418952618454,3.0049875311720697,32.62888524590106,30.278464285715277,31.367134615384902,32.91708620689641,29.36298305084766,30.866781818181465,26.15665000000081,1,ESTACION DE BOMBEO
15842885,1290802.0828877005,247.65148395721914,0.0,0.0,17.338954545454563,0.0,0.0,0.0,0.0,0.0,147.5744652406418,0.0,0.0,0.0,71723.14038128342,36638.84306925138,10.236882352941238,10.236882352941238,60.001283422459856,-1.7984300000000104,-79.52699999999923,7.565472192513263,1.624783155080264,19.0,0.0,0.0,3.71769954690732,18.27005347593583,3.0481283422459895,10.388405454545335,10.753175510204343,8.582652000000234,10.439022222222034,7.291314545454489,4.535831578946958,1.4595222222218311,1,VENTA DE AGROQUIMICOS
15842894,1291768.3243967828,250.1644209115278,0.0,0.0,42.2747238605898,0.0,0.0,0.0,0.0,0.0,32.57031367292231,0.0,0.0,0.0,130304.89512707776,57957.927485522785,22.96894262734584,22.96894262734584,60.00057104557644,-1.848119999999995,-79.5505000000004,17.281808042895264,6.498128686327048,1.0,0.0,0.0,8.54783654428119,18.300268096514746,3.0241286863270775,20.674896428571238,17.57877551020439,16.949911764705913,19.223463461539023,17.575968421052572,25.19343818181766,3.3099113207533932,1,ENTIDAD PRIVADA
16567743,1287746.5,130.4074957865168,131.1770224719103,129.72007499999992,0.5371842696629207,0.1237455056179779,0.6522196629213469,0.0,240.0,120.0,150.31988792134837,241.69719438202247,91.57699971910117,0.8281511235955055,45372.813632022466,3779.366249999997,25.58676404494366,25.58676404494366,59.99967724719098,-1.7977700000000112,-79.53059999999928,9.36232584269654,0.3829803370786539,8.0,0.0,0.0,4.604325810893134,18.185393258426966,3.0280898876404496,7.383396226414814,7.582437499999894,7.631933333333291,8.2089622641513,7.691833333333138,17.199113207547168,9.445739999999642,1,COMERCIAL
16567746,1288365.0714285714,136.52830857142854,135.67705228571424,137.4855097142857,1.400008857142858,1.308677142857144,1.4283537142857143,0.0,120.0,240.0,35.38543599999997,149.91098142857135,98.26464885714273,0.2764539999999999,461957.46756857104,210646.122677143,15.415474285714359,15.415474285714359,60.00022914285714,-1.7836999999999976,-79.6815999999999,12.438848571427267,7.976845714285987,2.0,0.0,0.0,5.986971352807715,18.205714285714286,3.0142857142857142,11.472792452826155,12.274933333334047,13.362326086959397,13.49522222221842,11.599584905658014,12.163560000000288,12.791877551018546,1,ESTACION DE BOMBEO
16567760,1297112.076294278,112.83643596730245,119.70364441416882,120.76896049046321,1.5227956403269753,1.0656267029972757,1.7403326975476838,0.0,120.0,240.0,31.860722888283355,152.53267356948228,269.5684564032698,0.8547408719346044,6775.384124591276,3919.2889951634884,0.6518476839237088,0.6518476839237088,60.00023324250681,-1.449949999999999,-79.76510000000033,0.8781014305177078,0.5367173705722115,0.0,0.0,0.0,0.42735776906274425,18.455040871934607,3.024523160762943,0.9324763888889046,0.8787194999999883,0.895659183673476,0.9011108490565778,0.8738331818181739,0.8540165094339689,0.8113896226415028,1,SUBESTACION
16567761,1294433.1150684932,649.1354054794521,657.0354739726025,649.3899260273973,0.5387558904109587,0.907084657534246,1.1561082191780827,0.0,240.0,120.0,25.377049315068493,271.4682734246577,146.2710369863013,0.8823852054794517,2344.154205410958,1214.921957671233,0.22867479452054598,0.22867479452054598,60.002706849315025,-1.434529999999996,-79.4658999999995,0.30211171232877077,0.1616921917808213,0.0,0.0,0.0,0.14582665151786164,18.375342465753423,3.041095890410959,0.29994545454545996,0.3132640624999965,0.31176702127660316,0.3194985576923098,0.2894758928571345,0.30702083333333713,0.27698773584907543,1,SUBESTACION
