MEDIDOR,lectura_id_orig,voltajeA,voltajeB,voltajeC,corrienteA,corrienteB,corrienteC,angvoltajeA,angvoltajeB,angvoltajeC,angcorrienteA,angcorrienteB,angcorrienteC,powerfactorsystem,totalkwh,totalkvarh,Maxkw,Maxkvar,frecuencia,Latitud,Longitud,kwh_consumido,kvarh_consumido,clasificacion_encoded,modelo_encoded,tipo_consumo_encoded,kwh_hora,dayMonth,eventoFpM0.6,ClustersConsumoMesFranjas,CLASIFICACION
15029835,1289411.1520618557,126.67300489690716,125.50579432989689,127.52293530927841,0.13610335051546357,0.09863067010309272,0.12959020618556713,0.0,240.0,120.0,104.40406494845357,242.773723969072,96.27222190721658,0.8296275773195871,42543.408355670115,11601.78034278351,21.65950515463921,21.65950515463921,59.999705412371114,-1.5684499999999935,-79.47330000000056,2.8758788659793635,0.9069278350515626,7.0,0.0,0.0,1.4316705421409397,18.234536082474225,0.03608247422680412,0,IGLESIA
15029844,1290868.1653116532,274.7618986449864,270.71774525745246,272.3199398373985,0.06495447154471536,0.051417886178861776,0.07281246612466118,0.0,120.08130081300813,239.91869918699186,49.93185501355006,121.84762168021676,243.98168184281855,0.7864672086720867,25390.780422764212,13754.344796747964,98.23863414634083,98.23863414634083,59.999388617886154,-1.6280100000000082,-79.5565999999999,6.845073170731694,4.454178861788649,2.0,0.0,0.0,3.348749230070478,18.276422764227643,0.016260162601626018,0,ESTACION DE BOMBEO
15029846,1292071.4417344173,107.85922493224929,109.04104065040656,109.0714712737129,2.3312422764227643,3.000947425474254,2.9562972899729023,0.0,120.0,240.0,325.38240243902413,98.00054498644994,245.93503252032534,0.912034959349594,4549354.310908541,2024010.611512191,208.01268292682914,208.01268292682914,59.999881842818425,-1.54980999999999,-79.7511999999996,336.7492134146579,0.42217682926918115,2.0,0.0,0.0,168.213020961775,18.314363143631436,0.0,0,ESTACION DE BOMBEO
15029847,1289051.9971428572,124.16779714285713,124.75045142857144,123.41688914285713,0.5078205714285721,0.46285600000000005,0.5037897142857146,0.0,240.0,120.0,200.10488257142853,227.985414,139.01496857142857,0.9374005714285706,209374.5104571429,21497.128697142853,32.204365714285885,32.204365714285885,59.99386200000002,-1.799189999999997,-79.5334000000002,26.557457142857103,2.1585428571429346,11.0,0.0,0.0,12.857209285114669,18.225714285714286,0.002857142857142857,0,BANCO
15029977,1292393.536159601,265.98951346633385,268.2386665835411,263.8450720698255,0.6689531172069821,0.7215775561097271,0.6560201995012463,0.0,240.0,120.0,26.21574264339152,251.93704463840413,132.2439301745635,0.9304496259351619,100175.59591271824,59869.556446384064,47.736718204488646,47.736718204488646,59.99849451371573,-1.4437899999999968,-79.76280000000037,30.488094763092437,18.685167082294175,2.0,0.0,0.0,15.527461777699196,18.32418952618454,0.017456359102244388,0,ESTACION DE BOMBEO
16567743,1287746.5,130.4074957865168,131.1770224719103,129.72007499999992,0.5371842696629207,0.1237455056179779,0.6522196629213469,0.0,240.0,120.0,150.31988792134837,241.69719438202247,91.57699971910117,0.8281511235955055,45372.813632022466,3779.366249999997,25.58676404494366,25.58676404494366,59.99967724719098,-1.7977700000000112,-79.53059999999928,9.36232584269654,0.3829803370786539,8.0,0.0,0.0,4.604325810893134,18.185393258426966,0.0,0,COMERCIAL
16567760,1297112.076294278,112.83643596730245,119.70364441416882,120.76896049046321,1.5227956403269753,1.0656267029972757,1.7403326975476838,0.0,120.0,240.0,31.860722888283355,152.53267356948228,269.5684564032698,0.8547408719346044,6775.384124591276,3919.2889951634884,0.6518476839237088,0.6518476839237088,60.00023324250681,-1.449949999999999,-79.76510000000033,0.8781014305177078,0.5367173705722115,0.0,0.0,0.0,0.42735776906274425,18.455040871934607,0.0,0,SUBESTACION
16567761,1294433.1150684932,649.1354054794521,657.0354739726025,649.3899260273973,0.5387558904109587,0.907084657534246,1.1561082191780827,0.0,240.0,120.0,25.377049315068493,271.4682734246577,146.2710369863013,0.8823852054794517,2344.154205410958,1214.921957671233,0.22867479452054598,0.22867479452054598,60.002706849315025,-1.434529999999996,-79.4658999999995,0.30211171232877077,0.1616921917808213,0.0,0.0,0.0,0.14582665151786164,18.375342465753423,0.0,0,SUBESTACION
16567763,1284410.6330532213,644.5123613445385,652.6181316526606,639.3323753501401,0.9430478991596638,0.939253221288515,1.1065014005602252,0.0,240.0,120.0,22.526914285714327,265.14655238095247,138.69017927170864,0.9248294117647047,2402.8298384453788,964.4757121848736,0.2535605042016807,0.2535605042016807,59.9995904761905,-1.5579000000000076,-79.52850000000029,0.35994789915966285,0.14731848739495873,0.0,0.0,0.0,0.17227312823036497,18.095238095238095,0.0,0,SUBESTACION
16951175,1291942.3842105262,107.09768236842092,106.19422578947363,105.95300578947366,0.5309589473684211,0.4908376315789471,0.20291631578947375,0.0,240.0,120.0,23.00080842105263,264.2987418421052,138.94553526315775,0.9203613157894743,1213.823040986843,528.6752494736843,0.20945526315789512,0.20945526315789512,59.99911552631579,-1.7759999999999947,-79.53710000000045,0.24648217105262982,0.10609282894736674,0.0,0.0,0.0,0.11912584723066204,18.305263157894736,0.0,0,SUBESTACION
16951176,1286641.494923858,107.06214720812179,106.22157005076139,105.89041878172578,0.7919271573604065,0.6956383248730967,0.5744220812182738,0.0,240.0,120.0,20.17478502538073,261.89493984771576,141.864055076142,0.9312994923857866,1872.6610972081205,757.3635548223341,0.7567987309644693,0.7567987309644693,60.00018807106602,-1.7759999999999931,-79.53710000000049,0.41252322335025543,0.15846167512690382,0.0,0.0,0.0,0.2006907177498776,18.15482233502538,0.0,0,SUBESTACION
