Latitud;Longitud;Medidor
-1.8724;-79.4218;16951202
-1.8724;-79.4218;16951204
-1.26879;-79.4269;16951214
0;0;28006723
-1.9691;-79.6293;28006779
-1.79297;-79.2869;35924884
-1.80605;-79.5226;35925249
-1.82913;-79.566;35925291
-1.81446;-79.5488;35925506
-1.77247;-79.2737;35946584
-1.79063;-79.2981;35946936
-1.95916;-79.4013;35947224
-1.71425;-79.5195;52071433
0;0;52071455
-1.8016;-79.2958;52072438
-1.55304;-79.529;52072453
-1.55049;-79.534;52073203
-1.79935;-79.5286;52073218
-1.80598;-79.5429;52073221
-1.54859;-79.5273;52073293
-1.54469;-79.53;52073304
-1.55867;-79.5308;52073319
-1.79777;-79.5312;52073321
-1.50779;-79.5143;52073340
-1.54939;-79.5306;52073341
-1.79807;-79.5281;53307850
-1.55791;-79.5303;53307856
-1.5547;-79.5335;53307857
-1.80125;-79.5166;53444720
-1.96033;-79.3981;58706656
-1.80861;-79.5414;58706662
-1.54819;-79.5252;58706694
-1.51121;-79.531;58706703
-1.81045;-79.5428;58706708
-1.81006;-79.4939;58706732
-1.7019;-79.545;58706742
-1.76742;-79.5362;0011563116
-1.79946;-79.5309;58706633
-1.44894;-79.4742;35925294
-1.42994;-79.4603;58706740
-1.44531;-79.4508;35947474
0;0;52073264
-1.19271;-79.429;35947222
-1.22948;-79.4234;52073323
-1.4277;-79.4637;35947190
-1.42054;-79.4642;35947271
-1.44136;-79.4604;58706706
-1.44894;-79.4742;35925030
-1.44595;-79.4616;58706647
-1.44192;-79.4607;52073348
-1.80191;-79.5143;52073207
0;0;52071444
0;0;52073329
0;0;52071428
-1.70697;-79.3931;35968887
0;0;52073331
0;0;58706730
-1.81433;-79.5068;35925260
0;0;35947270
0;0;53307843
0;0;53307870
0;0;53307875
-1.5552;-79.7522;52073354
-1.55517;-79.7521;58706652
-1.5586;-79.7522;52073336
-1.56128;-79.7567;53307861
-1.55706;-79.7553;53307830
-1.5931;-79.7234;35947044
-1.59453;-79.7246;52073295
-1.55653;-79.7534;52071411
-1.4331;-79.7545;52073234
-1.42684;-79.7498;16951218
-1.44379;-79.7628;15029977
-1.47259;-79.7471;52073373
-1.43652;-79.7554;0013893006
-1.42525;-79.7481;58706739
-1.43744;-79.7552;0014059565
-1.45774;-79.7695;20037224
-1.5182;-79.7985;58706719
-1.55662;-79.7533;53307828
-1.7909;-79.6742;16951207
-1.79083;-79.6744;16951210
-1.7907;-79.6744;16951208
-1.79077;-79.6745;16951209
-1.77115;-79.6313;16567738
-1.77115;-79.6313;16567739
-1.77115;-79.6313;16567740
-1.77147;-79.6323;16567737
-1.44995;-79.7651;16567760
-1.45009;-79.7651;16567759
-1.80371;-79.5214;16951219
-1.80366;-79.5216;16951222
-1.80362;-79.5215;16951220
-1.80381;-79.5216;16951201
-1.80363;-79.5214;16951221
-1.83192;-79.5586;16951206
-1.83196;-79.5587;16951205
-1.83192;-79.5587;16951203
0;0;16567753
0;0;20037228
-2.17485;-79.9073;75482834
0;0;75482841
-1.56444;-79.5314;53307845
-1.55167;-79.5358;58706721
-1.55139;-79.5308;52071451
0;0;75482842
-2.1748;-79.9075;75482835
0;0;75482838
0;0;75482836
-0.983824;-79.4428;15030400
-1.80879;-79.5434;52079200
-1.84564;-79.5486;58706654
-1.80595;-79.5428;52073194
-1.96185;-79.3972;35947045
-1.80259;-79.5179;35946586
0;0;35947183
-1.80006;-79.6422;35946578
-1.83367;-79.6092;53307859
-1.77784;-79.5388;58706631
-1.6316;-79.5707;52073252
-1.57169;-79.7574;52073257
0;0;15029842
-1.79902;-79.6651;59814805
-1.44651;-79.7622;41175612
-1.4331;-79.7545;52095070
-1.43756;-79.7544;59814797
-1.54452;-79.5282;53307871
-1.54104;-79.5277;52073238
-1.56203;-79.5422;58706707
-1.59054;-79.5439;58706663
-1.59696;-79.5521;41175730
-1.58573;-79.5468;52071437
-1.63923;-79.5598;59814800
-1.66627;-79.5893;35946538
-1.61854;-79.5581;52073198
-1.63194;-79.5603;52073220
-1.63923;-79.5598;52073287
-1.62941;-79.5661;59814809
-1.67517;-79.6339;53444725
-1.68244;-79.7069;28006119
-1.83586;-79.6104;28877074
-1.77496;-79.6292;41172858
-1.78995;-79.6327;53307876
-1.68696;-79.6148;52073384
-1.7841;-79.6788;41175719
-1.78411;-79.6796;52073244
-1.78413;-79.6789;52073270
-1.80231;-79.5322;58706645
-1.7904;-79.2854;35946575
-1.79233;-79.2872;52071427
-1.5552;-79.7519;52073377
-1.80065;-79.5275;52073201
-1.80065;-79.5275;53444740
-1.64375;-79.8022;58706704
-1.86192;-79.5551;52073371
0;0;52072446
-1.6763;-79.6371;58706709
-1.85471;-79.5523;58706725
0;0;58706693
0;0;58706713
0;0;16951181
0;0;20037219
0;0;35947268
0;0;52073224
-1.57196;-79.4714;52073179
-1.55303;-79.752;52073374
-1.59588;-79.9665;15030380
-1.78257;-79.6774;28908871
-2.15093;-79.958;28908843
-1.64063;-79.5859;52073277
-1.5772;-79.4534;52073193
-1.79718;-79.5311;59814804
-1.86591;-79.5562;58706734
-1.35647;-79.5238;35946928
