id,label,powerfactor
1,15029828,0.8610478359908884
2,15029835,0.031683168316831684
3,15029844,0.009615384615384616
4,15029846,0.0
5,15029847,0.0
6,15029974,0.006160164271047228
7,15029977,0.001893939393939394
8,15842884,1.0
9,15842885,1.0
10,15842894,1.0
11,15842921,1.0
12,16567733,0.007444168734491315
13,16567738,0.0
14,16567740,1.0
15,16567743,0.0
16,16567746,0.9671814671814671
17,16567757,0.0
18,16567758,0.0
19,16567759,0.0
20,16567760,0.0
21,16567761,0.0
22,16567762,0.0
23,16567763,0.0
24,16567764,0.0
25,16951175,0.0
26,16951176,0.0
27,16951177,0.0
28,16951179,0.0
29,16951180,0.0
30,16951182,0.0
31,16951195,0.0
32,16951199,0.993801652892562
33,16951201,0.0
34,16951203,0.983177570093458
35,16951205,1.0
36,16951206,1.0
37,16951207,0.0
38,16951208,0.0
39,16951209,0.0
40,16951210,0.0
41,16951212,0.0
42,16951216,0.14512922465208747
43,16951219,0.0
44,16951220,0.0
45,16951221,0.0
46,16951222,0.0
47,17548289,1.0
48,20037205,0.0
49,20037214,0.5487077534791253
50,28006904,0.0
51,28877074,0.9961240310077519
52,35924863,0.0
53,35924864,0.045774647887323945
54,35924866,0.0
55,35924882,0.0
56,35925134,0.03435114503816794
57,35925291,0.4721030042918455
58,35925294,0.0038910505836575876
59,35925308,0.0
60,35925506,0.0
61,35946575,0.0
62,35946920,0.012269938650306749
63,35947190,0.7183908045977011
64,41175730,0.0
65,52071447,0.0
66,52073163,0.4897750511247444
67,52073194,0.4921259842519685
68,52073198,0.0
69,52073200,0.0076045627376425855
70,52073201,0.5598290598290598
71,52073218,0.0
72,52073240,0.0
73,52073259,0.0
74,52073290,0.0043859649122807015
75,52073292,0.012
76,52073295,0.0
77,52073302,0.00390625
78,52073321,0.0
79,52073345,0.0
80,52073348,0.0
81,52073352,0.0
82,52073359,0.016
83,52073382,0.0
84,53307830,0.0
85,53307859,0.0
86,53307861,0.0
87,53307871,0.004329004329004329
88,53444735,0.0
89,58706632,0.0040650406504065045
90,58706634,0.0
91,58706655,0.0
92,58706656,0.0
93,58706659,0.0
94,58706662,0.0
95,58706663,0.0
96,58706704,0.0
97,58706706,0.0
98,58706709,0.0
99,58706725,0.7560240963855421
100,58706740,0.21338912133891214
101,59814806,0.0
