source,target,weight
15029828,15029835,0.8293646676740567
15029828,15029844,0.8514324513755038
15029828,15029846,0.8610478359908884
15029828,15029847,0.8610478359908884
15029828,15029974,0.8548876717198411
15029828,15029977,0.859153896596949
15029828,15842884,0.1389521640091116
15029828,15842885,0.1389521640091116
15029828,15842894,0.1389521640091116
15029828,15842921,0.1389521640091116
15029828,16567733,0.8536036672563971
15029828,16567738,0.8610478359908884
15029828,16567740,0.1389521640091116
15029828,16567743,0.8610478359908884
15029828,16567746,0.10613363119057884
15029828,16567757,0.8610478359908884
15029828,16567758,0.8610478359908884
15029828,16567759,0.8610478359908884
15029828,16567760,0.8610478359908884
15029828,16567761,0.8610478359908884
15029828,16567762,0.8610478359908884
15029828,16567763,0.8610478359908884
15029828,16567764,0.8610478359908884
15029828,16951175,0.8610478359908884
15029828,16951176,0.8610478359908884
15029828,16951177,0.8610478359908884
15029828,16951179,0.8610478359908884
15029828,16951180,0.8610478359908884
15029828,16951182,0.8610478359908884
15029828,16951195,0.8610478359908884
15029828,16951199,0.13275381690167354
15029828,16951201,0.8610478359908884
15029828,16951203,0.12212973410256955
15029828,16951205,0.1389521640091116
15029828,16951206,0.1389521640091116
15029828,16951207,0.8610478359908884
15029828,16951208,0.8610478359908884
15029828,16951209,0.8610478359908884
15029828,16951210,0.8610478359908884
15029828,16951212,0.8610478359908884
15029828,16951216,0.715918611338801
15029828,16951219,0.8610478359908884
15029828,16951220,0.8610478359908884
15029828,16951221,0.8610478359908884
15029828,16951222,0.8610478359908884
15029828,17548289,0.1389521640091116
15029828,20037205,0.8610478359908884
15029828,20037214,0.31234008251176315
15029828,28006904,0.8610478359908884
15029828,28877074,0.13507619501686363
15029828,35924863,0.8610478359908884
15029828,35924864,0.8152731881035644
15029828,35924866,0.8610478359908884
15029828,35924882,0.8610478359908884
15029828,35925134,0.8266966909527205
15029828,35925291,0.3889448316990429
15029828,35925294,0.8571567854072308
15029828,35925308,0.8610478359908884
15029828,35925506,0.8610478359908884
15029828,35946575,0.8610478359908884
15029828,35946920,0.8487778973405816
15029828,35947190,0.1426570313931873
15029828,41175730,0.8610478359908884
15029828,52071447,0.8610478359908884
15029828,52073163,0.371272784866144
15029828,52073194,0.3689218517389199
15029828,52073198,0.8610478359908884
15029828,52073200,0.8534432732532459
15029828,52073201,0.30121877616182857
15029828,52073218,0.8610478359908884
15029828,52073240,0.8610478359908884
15029828,52073259,0.8610478359908884
15029828,52073290,0.8566618710786077
15029828,52073292,0.8490478359908884
15029828,52073295,0.8610478359908884
15029828,52073302,0.8571415859908884
15029828,52073321,0.8610478359908884
15029828,52073345,0.8610478359908884
15029828,52073348,0.8610478359908884
15029828,52073352,0.8610478359908884
15029828,52073359,0.8450478359908884
15029828,52073382,0.8610478359908884
15029828,53307830,0.8610478359908884
15029828,53307859,0.8610478359908884
15029828,53307861,0.8610478359908884
15029828,53307871,0.8567188316618841
15029828,53444735,0.8610478359908884
15029828,58706632,0.8569827953404819
15029828,58706634,0.8610478359908884
15029828,58706655,0.8610478359908884
15029828,58706656,0.8610478359908884
15029828,58706659,0.8610478359908884
15029828,58706662,0.8610478359908884
15029828,58706663,0.8610478359908884
15029828,58706704,0.8610478359908884
15029828,58706706,0.8610478359908884
15029828,58706709,0.8610478359908884
15029828,58706725,0.10502373960534628
15029828,58706740,0.6476587146519763
15029828,59814806,0.8610478359908884
15029835,15029844,0.022067783701447068
15029835,15029846,0.031683168316831684
15029835,15029847,0.031683168316831684
15029835,15029974,0.025523004045784455
15029835,15029977,0.029789228922892288
15029835,15842884,0.9683168316831683
15029835,15842885,0.9683168316831683
15029835,15842894,0.9683168316831683
15029835,15842921,0.9683168316831683
15029835,16567733,0.024238999582340368
15029835,16567738,0.031683168316831684
15029835,16567740,0.9683168316831683
15029835,16567743,0.031683168316831684
15029835,16567746,0.9354982988646355
15029835,16567757,0.031683168316831684
15029835,16567758,0.031683168316831684
15029835,16567759,0.031683168316831684
15029835,16567760,0.031683168316831684
15029835,16567761,0.031683168316831684
15029835,16567762,0.031683168316831684
15029835,16567763,0.031683168316831684
15029835,16567764,0.031683168316831684
15029835,16951175,0.031683168316831684
15029835,16951176,0.031683168316831684
15029835,16951177,0.031683168316831684
15029835,16951179,0.031683168316831684
15029835,16951180,0.031683168316831684
15029835,16951182,0.031683168316831684
15029835,16951195,0.031683168316831684
15029835,16951199,0.9621184845757302
15029835,16951201,0.031683168316831684
15029835,16951203,0.9514944017766263
15029835,16951205,0.9683168316831683
15029835,16951206,0.9683168316831683
15029835,16951207,0.031683168316831684
15029835,16951208,0.031683168316831684
15029835,16951209,0.031683168316831684
15029835,16951210,0.031683168316831684
15029835,16951212,0.031683168316831684
15029835,16951216,0.11344605633525578
15029835,16951219,0.031683168316831684
15029835,16951220,0.031683168316831684
15029835,16951221,0.031683168316831684
15029835,16951222,0.031683168316831684
15029835,17548289,0.9683168316831683
15029835,20037205,0.031683168316831684
15029835,20037214,0.5170245851622935
15029835,28006904,0.031683168316831684
15029835,28877074,0.9644408626909203
15029835,35924863,0.031683168316831684
15029835,35924864,0.014091479570492262
15029835,35924866,0.031683168316831684
15029835,35924882,0.031683168316831684
15029835,35925134,0.002667976721336257
15029835,35925291,0.4404198359750138
15029835,35925294,0.027792117733174096
15029835,35925308,0.031683168316831684
15029835,35925506,0.031683168316831684
15029835,35946575,0.031683168316831684
15029835,35946920,0.019413229666524937
15029835,35947190,0.6867076362808694
15029835,41175730,0.031683168316831684
15029835,52071447,0.031683168316831684
15029835,52073163,0.4580918828079127
15029835,52073194,0.4604428159351368
15029835,52073198,0.031683168316831684
15029835,52073200,0.0240786055791891
15029835,52073201,0.5281458915122281
15029835,52073218,0.031683168316831684
15029835,52073240,0.031683168316831684
15029835,52073259,0.031683168316831684
15029835,52073290,0.027297203404550982
15029835,52073292,0.019683168316831683
15029835,52073295,0.031683168316831684
15029835,52073302,0.027776918316831684
15029835,52073321,0.031683168316831684
15029835,52073345,0.031683168316831684
15029835,52073348,0.031683168316831684
15029835,52073352,0.031683168316831684
15029835,52073359,0.015683168316831683
15029835,52073382,0.031683168316831684
15029835,53307830,0.031683168316831684
15029835,53307859,0.031683168316831684
15029835,53307861,0.031683168316831684
15029835,53307871,0.027354163987827355
15029835,53444735,0.031683168316831684
15029835,58706632,0.027618127666425178
15029835,58706634,0.031683168316831684
15029835,58706655,0.031683168316831684
15029835,58706656,0.031683168316831684
15029835,58706659,0.031683168316831684
15029835,58706662,0.031683168316831684
15029835,58706663,0.031683168316831684
15029835,58706704,0.031683168316831684
15029835,58706706,0.031683168316831684
15029835,58706709,0.031683168316831684
15029835,58706725,0.7243409280687104
15029835,58706740,0.18170595302208045
15029835,59814806,0.031683168316831684
15029844,15029846,0.009615384615384616
15029844,15029847,0.009615384615384616
15029844,15029974,0.0034552203443373878
15029844,15029977,0.007721445221445222
15029844,15842884,0.9903846153846154
15029844,15842885,0.9903846153846154
15029844,15842894,0.9903846153846154
15029844,15842921,0.9903846153846154
15029844,16567733,0.0021712158808933
15029844,16567738,0.009615384615384616
15029844,16567740,0.9903846153846154
15029844,16567743,0.009615384615384616
15029844,16567746,0.9575660825660827
15029844,16567757,0.009615384615384616
15029844,16567758,0.009615384615384616
15029844,16567759,0.009615384615384616
15029844,16567760,0.009615384615384616
15029844,16567761,0.009615384615384616
15029844,16567762,0.009615384615384616
15029844,16567763,0.009615384615384616
15029844,16567764,0.009615384615384616
15029844,16951175,0.009615384615384616
15029844,16951176,0.009615384615384616
15029844,16951177,0.009615384615384616
15029844,16951179,0.009615384615384616
15029844,16951180,0.009615384615384616
15029844,16951182,0.009615384615384616
15029844,16951195,0.009615384615384616
15029844,16951199,0.9841862682771774
15029844,16951201,0.009615384615384616
15029844,16951203,0.9735621854780734
15029844,16951205,0.9903846153846154
15029844,16951206,0.9903846153846154
15029844,16951207,0.009615384615384616
15029844,16951208,0.009615384615384616
15029844,16951209,0.009615384615384616
15029844,16951210,0.009615384615384616
15029844,16951212,0.009615384615384616
15029844,16951216,0.13551384003670286
15029844,16951219,0.009615384615384616
15029844,16951220,0.009615384615384616
15029844,16951221,0.009615384615384616
15029844,16951222,0.009615384615384616
15029844,17548289,0.9903846153846154
15029844,20037205,0.009615384615384616
15029844,20037214,0.5390923688637407
15029844,28006904,0.009615384615384616
15029844,28877074,0.9865086463923675
15029844,35924863,0.009615384615384616
15029844,35924864,0.03615926327193933
15029844,35924866,0.009615384615384616
15029844,35924882,0.009615384615384616
15029844,35925134,0.024735760422783325
15029844,35925291,0.46248761967646085
15029844,35925294,0.0057243340317270274
15029844,35925308,0.009615384615384616
15029844,35925506,0.009615384615384616
15029844,35946575,0.009615384615384616
15029844,35946920,0.002654554034922133
15029844,35947190,0.7087754199823165
15029844,41175730,0.009615384615384616
15029844,52071447,0.009615384615384616
15029844,52073163,0.48015966650935976
15029844,52073194,0.4825105996365839
15029844,52073198,0.009615384615384616
15029844,52073200,0.0020108218777420304
15029844,52073201,0.5502136752136753
15029844,52073218,0.009615384615384616
15029844,52073240,0.009615384615384616
15029844,52073259,0.009615384615384616
15029844,52073290,0.005229419703103914
15029844,52073292,0.0023846153846153843
15029844,52073295,0.009615384615384616
15029844,52073302,0.005709134615384616
15029844,52073321,0.009615384615384616
15029844,52073345,0.009615384615384616
15029844,52073348,0.009615384615384616
15029844,52073352,0.009615384615384616
15029844,52073359,0.006384615384615384
15029844,52073382,0.009615384615384616
15029844,53307830,0.009615384615384616
15029844,53307859,0.009615384615384616
15029844,53307861,0.009615384615384616
15029844,53307871,0.005286380286380287
15029844,53444735,0.009615384615384616
15029844,58706632,0.005550343964978111
15029844,58706634,0.009615384615384616
15029844,58706655,0.009615384615384616
15029844,58706656,0.009615384615384616
15029844,58706659,0.009615384615384616
15029844,58706662,0.009615384615384616
15029844,58706663,0.009615384615384616
15029844,58706704,0.009615384615384616
15029844,58706706,0.009615384615384616
15029844,58706709,0.009615384615384616
15029844,58706725,0.7464087117701576
15029844,58706740,0.20377373672352753
15029844,59814806,0.009615384615384616
15029846,15029847,0.0
15029846,15029974,0.006160164271047228
15029846,15029977,0.0018939393939393942
15029846,15842884,1.0
15029846,15842885,1.0
15029846,15842894,1.0
15029846,15842921,1.0
15029846,16567733,0.007444168734491316
15029846,16567738,0.0
15029846,16567740,1.0
15029846,16567743,0.0
15029846,16567746,0.9671814671814672
15029846,16567757,0.0
15029846,16567758,0.0
15029846,16567759,0.0
15029846,16567760,0.0
15029846,16567761,0.0
15029846,16567762,0.0
15029846,16567763,0.0
15029846,16567764,0.0
15029846,16951175,0.0
15029846,16951176,0.0
15029846,16951177,0.0
15029846,16951179,0.0
15029846,16951180,0.0
15029846,16951182,0.0
15029846,16951195,0.0
15029846,16951199,0.993801652892562
15029846,16951201,0.0
15029846,16951203,0.983177570093458
15029846,16951205,1.0
15029846,16951206,1.0
15029846,16951207,0.0
15029846,16951208,0.0
15029846,16951209,0.0
15029846,16951210,0.0
15029846,16951212,0.0
15029846,16951216,0.14512922465208747
15029846,16951219,0.0
15029846,16951220,0.0
15029846,16951221,0.0
15029846,16951222,0.0
15029846,17548289,1.0
15029846,20037205,0.0
15029846,20037214,0.5487077534791253
15029846,28006904,0.0
15029846,28877074,0.996124031007752
15029846,35924863,0.0
15029846,35924864,0.045774647887323945
15029846,35924866,0.0
15029846,35924882,0.0
15029846,35925134,0.03435114503816794
15029846,35925291,0.4721030042918455
15029846,35925294,0.0038910505836575885
15029846,35925308,0.0
15029846,35925506,0.0
15029846,35946575,0.0
15029846,35946920,0.012269938650306749
15029846,35947190,0.7183908045977011
15029846,41175730,0.0
15029846,52071447,0.0
15029846,52073163,0.4897750511247444
15029846,52073194,0.4921259842519685
15029846,52073198,0.0
15029846,52073200,0.0076045627376425855
15029846,52073201,0.5598290598290598
15029846,52073218,0.0
15029846,52073240,0.0
15029846,52073259,0.0
15029846,52073290,0.0043859649122807015
15029846,52073292,0.012
15029846,52073295,0.0
15029846,52073302,0.00390625
15029846,52073321,0.0
15029846,52073345,0.0
15029846,52073348,0.0
15029846,52073352,0.0
15029846,52073359,0.016
15029846,52073382,0.0
15029846,53307830,0.0
15029846,53307859,0.0
15029846,53307861,0.0
15029846,53307871,0.004329004329004329
15029846,53444735,0.0
15029846,58706632,0.0040650406504065045
15029846,58706634,0.0
15029846,58706655,0.0
15029846,58706656,0.0
15029846,58706659,0.0
15029846,58706662,0.0
15029846,58706663,0.0
15029846,58706704,0.0
15029846,58706706,0.0
15029846,58706709,0.0
15029846,58706725,0.7560240963855421
15029846,58706740,0.21338912133891214
15029846,59814806,0.0
15029847,15029974,0.006160164271047228
15029847,15029977,0.0018939393939393942
15029847,15842884,1.0
15029847,15842885,1.0
15029847,15842894,1.0
15029847,15842921,1.0
15029847,16567733,0.007444168734491316
15029847,16567738,0.0
15029847,16567740,1.0
15029847,16567743,0.0
15029847,16567746,0.9671814671814672
15029847,16567757,0.0
15029847,16567758,0.0
15029847,16567759,0.0
15029847,16567760,0.0
15029847,16567761,0.0
15029847,16567762,0.0
15029847,16567763,0.0
15029847,16567764,0.0
15029847,16951175,0.0
15029847,16951176,0.0
15029847,16951177,0.0
15029847,16951179,0.0
15029847,16951180,0.0
15029847,16951182,0.0
15029847,16951195,0.0
15029847,16951199,0.993801652892562
15029847,16951201,0.0
15029847,16951203,0.983177570093458
15029847,16951205,1.0
15029847,16951206,1.0
15029847,16951207,0.0
15029847,16951208,0.0
15029847,16951209,0.0
15029847,16951210,0.0
15029847,16951212,0.0
15029847,16951216,0.14512922465208747
15029847,16951219,0.0
15029847,16951220,0.0
15029847,16951221,0.0
15029847,16951222,0.0
15029847,17548289,1.0
15029847,20037205,0.0
15029847,20037214,0.5487077534791253
